id,name,description,price,stock_quantity,created_at
93,Product 83,Description for product 83,305.94,32,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
94,Product 84,Description for product 84,728.75,65,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
95,Product 85,Description for product 85,92.66,49,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
96,Product 86,Description for product 86,201.76,52,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
97,Product 87,Description for product 87,999.52,43,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
98,Product 88,Description for product 88,175.00,57,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
99,Product 89,Description for product 89,329.26,93,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
100,Product 90,Description for product 90,681.07,60,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
101,Product 91,Description for product 91,976.89,7,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
102,Product 92,Description for product 92,431.38,93,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
103,Product 93,Description for product 93,404.22,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
104,Product 94,Description for product 94,797.82,38,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
105,Product 95,Description for product 95,520.54,45,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
106,Product 96,Description for product 96,709.87,18,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
107,Product 97,Description for product 97,802.72,45,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
108,Product 98,Description for product 98,862.78,95,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
109,Product 99,Description for product 99,168.37,98,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
110,Product 100,Description for product 100,434.01,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
111,Product 101,Description for product 101,730.79,3,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
112,Product 102,Description for product 102,978.99,79,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
113,Product 103,Description for product 103,23.77,74,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
114,Product 104,Description for product 104,640.68,97,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
115,Product 105,Description for product 105,959.07,86,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
116,Product 106,Description for product 106,456.15,68,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
117,Product 107,Description for product 107,35.15,13,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
118,Product 108,Description for product 108,562.57,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
119,Product 109,Description for product 109,372.42,62,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
120,Product 110,Description for product 110,12.94,18,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
121,Product 111,Description for product 111,893.98,91,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
122,Product 112,Description for product 112,869.13,61,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
123,Product 113,Description for product 113,467.63,49,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
124,Product 114,Description for product 114,62.75,83,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
125,Product 115,Description for product 115,983.53,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
126,Product 116,Description for product 116,122.28,36,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
127,Product 117,Description for product 117,471.64,25,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
128,Product 118,Description for product 118,860.69,53,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
129,Product 119,Description for product 119,108.37,92,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
130,Product 120,Description for product 120,312.79,78,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
131,Product 121,Description for product 121,967.62,49,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
132,Product 122,Description for product 122,569.79,36,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
133,Product 123,Description for product 123,117.37,49,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
134,Product 124,Description for product 124,101.95,3,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
135,Product 125,Description for product 125,880.72,29,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
136,Product 126,Description for product 126,816.05,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
137,Product 127,Description for product 127,578.58,27,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
138,Product 128,Description for product 128,648.59,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
139,Product 129,Description for product 129,115.93,34,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
140,Product 130,Description for product 130,365.31,79,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
141,Product 131,Description for product 131,897.52,9,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
142,Product 132,Description for product 132,765.06,55,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
143,Product 133,Description for product 133,458.51,64,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
144,Product 134,Description for product 134,826.13,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
145,Product 135,Description for product 135,569.89,22,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
146,Product 136,Description for product 136,392.80,30,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
147,Product 137,Description for product 137,334.12,76,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
148,Product 138,Description for product 138,813.14,77,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
149,Product 139,Description for product 139,442.59,88,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
150,Product 140,Description for product 140,91.03,80,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
151,Product 141,Description for product 141,746.12,31,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
152,Product 142,Description for product 142,357.13,82,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
153,Product 143,Description for product 143,70.34,86,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
154,Product 144,Description for product 144,122.27,1,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
155,Product 145,Description for product 145,690.07,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
156,Product 146,Description for product 146,10.94,80,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
157,Product 147,Description for product 147,997.18,56,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
158,Product 148,Description for product 148,848.06,53,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
159,Product 149,Description for product 149,138.39,8,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
160,Product 150,Description for product 150,996.90,73,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
161,Product 151,Description for product 151,695.54,26,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
162,Product 152,Description for product 152,243.22,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
163,Product 153,Description for product 153,361.35,55,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
164,Product 154,Description for product 154,676.69,72,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
165,Product 155,Description for product 155,605.01,84,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
166,Product 156,Description for product 156,405.02,49,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
167,Product 157,Description for product 157,250.28,77,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
168,Product 158,Description for product 158,110.14,23,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
169,Product 159,Description for product 159,840.12,49,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
170,Product 160,Description for product 160,971.00,36,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
171,Product 161,Description for product 161,887.94,35,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
172,Product 162,Description for product 162,131.87,58,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
173,Product 163,Description for product 163,514.09,82,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
174,Product 164,Description for product 164,580.85,43,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
175,Product 165,Description for product 165,409.34,75,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
176,Product 166,Description for product 166,549.80,48,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
177,Product 167,Description for product 167,762.14,36,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
178,Product 168,Description for product 168,532.42,57,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
179,Product 169,Description for product 169,256.78,57,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
180,Product 170,Description for product 170,86.99,72,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
181,Product 171,Description for product 171,341.87,54,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
182,Product 172,Description for product 172,712.64,92,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
183,Product 173,Description for product 173,463.26,55,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
184,Product 174,Description for product 174,388.22,27,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
185,Product 175,Description for product 175,206.84,21,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
186,Product 176,Description for product 176,436.01,54,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
187,Product 177,Description for product 177,422.70,47,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
188,Product 178,Description for product 178,107.23,11,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
189,Product 179,Description for product 179,233.11,83,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
190,Product 180,Description for product 180,463.96,82,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
191,Product 181,Description for product 181,717.20,12,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
192,Product 182,Description for product 182,451.23,89,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
193,Product 183,Description for product 183,118.60,90,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
194,Product 184,Description for product 184,192.39,23,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
195,Product 185,Description for product 185,587.92,24,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
196,Product 186,Description for product 186,439.08,47,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
197,Product 187,Description for product 187,51.23,83,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
198,Product 188,Description for product 188,21.62,60,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
199,Product 189,Description for product 189,949.66,93,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
200,Product 190,Description for product 190,849.04,42,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
201,Product 191,Description for product 191,584.72,64,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
202,Product 192,Description for product 192,468.34,40,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
203,Product 193,Description for product 193,635.96,95,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
204,Product 194,Description for product 194,868.13,47,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
205,Product 195,Description for product 195,770.92,42,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
206,Product 196,Description for product 196,834.30,88,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
207,Product 197,Description for product 197,913.36,91,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
208,Product 198,Description for product 198,845.12,47,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
209,Product 199,Description for product 199,837.01,76,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
210,Product 200,Description for product 200,297.21,20,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
211,Product 201,Description for product 201,113.95,96,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
212,Product 202,Description for product 202,490.20,55,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
213,Product 203,Description for product 203,288.28,78,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
214,Product 204,Description for product 204,65.40,96,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
215,Product 205,Description for product 205,648.09,33,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
216,Product 206,Description for product 206,725.10,62,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
217,Product 207,Description for product 207,944.03,84,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
218,Product 208,Description for product 208,410.66,50,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
219,Product 209,Description for product 209,306.35,0,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
220,Product 210,Description for product 210,124.77,59,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
221,Product 211,Description for product 211,613.41,27,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
222,Product 212,Description for product 212,531.92,83,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
223,Product 213,Description for product 213,585.83,42,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
224,Product 214,Description for product 214,343.49,45,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
225,Product 215,Description for product 215,253.76,89,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
226,Product 216,Description for product 216,729.97,95,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
227,Product 217,Description for product 217,585.65,6,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
228,Product 218,Description for product 218,557.55,59,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
229,Product 219,Description for product 219,322.56,81,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
230,Product 220,Description for product 220,110.74,10,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
231,Product 221,Description for product 221,200.99,68,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
232,Product 222,Description for product 222,822.25,5,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
233,Product 223,Description for product 223,813.79,90,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
234,Product 224,Description for product 224,61.68,60,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
235,Product 225,Description for product 225,847.82,41,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
236,Product 226,Description for product 226,553.52,50,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
237,Product 227,Description for product 227,886.51,90,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
238,Product 228,Description for product 228,861.91,59,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
239,Product 229,Description for product 229,397.73,19,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
240,Product 230,Description for product 230,799.64,40,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
241,Product 231,Description for product 231,613.52,86,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
242,Product 232,Description for product 232,460.20,72,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
243,Product 233,Description for product 233,222.19,94,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
244,Product 234,Description for product 234,79.72,55,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
245,Product 235,Description for product 235,514.94,92,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
246,Product 236,Description for product 236,66.49,56,Thu Dec 28 2023 14:24:18 GMT+0100 (Central European Standard Time)
